sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
B00GXLF,EGAN00001595042,SAMEA104305136,EGAR00001606131,EGAX00001561901,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLH,EGAN00001595043,SAMEA104305137,EGAR00001606132,EGAX00001561902,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLJ,EGAN00001595044,SAMEA104305138,EGAR00001606133,EGAX00001561903,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLN,EGAN00001595045,SAMEA104305139,EGAR00001606134,EGAX00001561904,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLO,EGAN00001595046,SAMEA104305140,EGAR00001606135,EGAX00001561905,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLQ,EGAN00001595047,SAMEA104305141,EGAR00001606136,EGAX00001561906,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLR,EGAN00001595048,SAMEA104305142,EGAR00001606137,EGAX00001561907,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLU,EGAN00001595049,SAMEA104305143,EGAR00001606138,EGAX00001561908,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLV,EGAN00001595050,SAMEA104305144,EGAR00001606139,EGAX00001561909,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLY,EGAN00001595051,SAMEA104305145,EGAR00001606140,EGAX00001561910,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXLZ,EGAN00001595052,SAMEA104305146,EGAR00001606141,EGAX00001561911,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXM2,EGAN00001595053,SAMEA104305147,EGAR00001606142,EGAX00001561912,EGAS00001002631,ENA-CHECKLIST=ERC000026
B00GXM5,EGAN00001595054,SAMEA104305148,EGAR00001606143,EGAX00001561913,EGAS00001002631,ENA-CHECKLIST=ERC000026
